Chemical Formula,Trace,State,Date
TK2,"['KT2', 'T2K']",Solid,2018-11-09 18:12:39
K9U,[],Liquid,2015-03-08 05:26:24
F7J,[],Solid,2021-05-28 00:09:49
ZP2,[],Gas,2016-07-31 15:15:36
4MM,['M4M'],Solid,2016-01-14 02:39:30
N6W,['WN6'],Liquid,2010-10-28 07:22:03
JK4,"['K4J', 'K4J', '4JK']",Gas,2018-05-21 03:06:37
N7M,[],Liquid,2019-04-29 03:29:46
ND7,"['ND7', '7ND']",Solid,2012-01-10 07:27:30
3RS,['3RS'],Solid,2019-04-23 13:51:46
KJ8,"['K8J', 'K8J']",Solid,2016-02-20 21:24:29
UA0,['0UA'],Solid,2020-02-09 03:45:30
S3C,['SC3'],Gas,2016-07-28 08:39:47
MC6,"['6MC', '6CM']",Solid,2011-04-30 07:38:16
J2F,['2JF'],Solid,2013-03-20 13:07:02
5PF,[],Liquid,2014-12-01 19:01:52
H6Z,['HZ6'],Liquid,2016-06-26 14:59:19
0JN,"['JN0', '0JN']",Liquid,2021-04-05 18:14:52
EV0,['0VE'],Liquid,2014-11-10 12:02:08
T3O,[],Liquid,2020-08-01 00:12:02
9BL,['BL9'],Liquid,2020-12-01 12:10:08
KB5,"['B5K', 'B5K', 'K5B']",Liquid,2017-07-13 14:04:17
3XQ,[],Solid,2011-11-05 16:10:43
P8L,"['8PL', 'PL8', '8LP']",Gas,2014-01-06 11:27:57
5YH,[],Liquid,2020-02-16 03:34:12
L8X,[],Solid,2011-11-30 18:09:39
DE9,['E9D'],Solid,2018-10-30 21:37:26
5AN,[],Solid,2012-03-14 11:37:22
K4D,"['K4D', '4KD', 'DK4']",Gas,2014-08-18 21:06:54
8EJ,"['8JE', 'E8J', '8JE']",Plasma,2010-11-10 05:10:07
Y0I,"['0YI', '0YI']",Liquid,2016-01-14 16:08:21
N3V,[],Liquid,2011-12-15 03:22:30
QW3,['3QW'],Liquid,2018-08-27 08:50:28
9VG,[],Liquid,2014-09-01 07:06:35
X9K,[],Gas,2017-12-21 21:32:30
LZ3,"['ZL3', 'ZL3', '3ZL']",Solid,2012-08-10 13:35:16
Z0W,[],Gas,2015-02-06 13:13:20
1NT,"['N1T', '1TN']",Gas,2015-01-08 15:02:06
E4W,[],Solid,2013-11-19 22:13:47
4ES,['E4S'],Liquid,2017-09-02 17:11:29
3FJ,['FJ3'],Solid,2019-07-24 05:05:02
A2A,"['A2A', '2AA', 'AA2']",Solid,2012-07-15 09:25:41
2JQ,"['J2Q', 'Q2J', 'J2Q']",Liquid,2014-08-22 06:09:35
Q6T,"['TQ6', 'QT6']",Solid,2019-02-20 15:29:45
LL7,"['L7L', 'L7L', 'LL7']",Gas,2011-04-14 03:16:54
Y6Y,[],Solid,2021-12-22 12:57:57
G9N,"['G9N', 'GN9', '9GN']",Gas,2021-05-11 13:25:25
4UM,"['4MU', 'UM4', 'U4M']",Solid,2013-08-23 03:26:37
X5G,[],Solid,2013-07-13 11:02:27
QR2,[],Solid,2019-06-24 17:29:14
0NX,"['0XN', 'X0N']",Solid,2015-03-05 20:26:07
4GI,"['4GI', '4IG', 'IG4']",Solid,2012-07-29 13:10:38
0EW,[],Gas,2018-03-01 15:16:32
8CC,['CC8'],Liquid,2017-06-22 03:41:42
4PZ,"['PZ4', '4ZP']",Gas,2011-10-05 10:11:29
6RG,"['RG6', '6RG', '6RG']",Gas,2015-08-09 15:39:46
K6U,['UK6'],Liquid,2010-02-09 13:55:49
7VX,[],Gas,2012-07-01 19:02:29
H3A,"['H3A', '3HA']",Solid,2021-08-15 22:37:27
1VD,['V1D'],Gas,2013-03-21 03:31:47
X7A,"['7AX', '7AX', 'AX7']",Solid,2017-03-12 16:17:26
R0W,[],Solid,2014-05-15 17:25:04
0ZV,"['0VZ', '0ZV', '0VZ']",Solid,2012-02-01 16:16:19
2YI,"['2YI', 'Y2I']",Gas,2019-10-15 16:30:39
F2I,[],Solid,2018-05-02 10:35:31
G0K,"['G0K', 'KG0', 'G0K']",Gas,2011-03-03 13:27:48
0XL,"['L0X', 'X0L']",Solid,2014-05-16 11:08:54
5FC,[],Solid,2019-01-10 15:58:10
M8R,"['R8M', 'M8R']",Liquid,2015-10-28 20:15:15
KQ4,['Q4K'],Liquid,2011-06-20 17:40:35
SS3,"['SS3', 'SS3', '3SS']",Liquid,2013-02-27 12:48:27
7QR,[],Liquid,2018-12-29 10:18:07
9FY,"['9YF', 'F9Y', 'YF9']",Gas,2013-08-22 03:57:07
7RN,['7RN'],Liquid,2012-06-24 09:33:14
3MM,['MM3'],Gas,2018-08-24 01:17:31
FR5,[],Solid,2016-06-05 19:16:15
D0Q,"['0DQ', 'DQ0']",Gas,2014-05-01 18:55:44
GI6,"['6GI', 'GI6', '6GI']",Solid,2015-11-26 17:09:34
FR3,['RF3'],Liquid,2020-05-01 01:28:31
4GT,['G4T'],Solid,2019-12-16 14:55:08
S9L,[],Solid,2020-06-23 19:44:40
3NS,['NS3'],Gas,2015-12-26 18:12:06
0MU,"['MU0', 'M0U']",Solid,2016-03-01 07:50:49
Y8F,[],Liquid,2020-12-06 01:59:31
XT0,"['T0X', 'XT0', 'X0T']",Solid,2015-03-19 19:40:22
UY2,"['2YU', 'UY2']",Solid,2019-09-09 17:47:56
